Years,Population
1650,700
1718,5600
1811,9200
1840,16500
1856,12900
1863,16500
1865,20100
1879,23200
1886,27000
1897,49275
1913,100700
1914,99900
1916,112700
1920,92800
1923,85300
1926,97737
1931,123446
1933,167900
1937,216449
1939,250011
1945,264800
1956,265000
1959,546878
1962,610000
1967,704000
1968,733800
1970,770905
1973,844000
1975,924000
1976,924000
1979,969289
1982,1023000
1985,1040000
1986,1043000
1987,1092000
1989,1082052
1990,1088000
1991,1097000
1992,1097000
1993,1096000
1994,1092000
1995,1092000
1996,1094000
1997,1082000
1998,1084000
1999,1088900
2000,1091200
2001,1088800
2002,1042437
2003,1043306
2021,1144809
